split,image_name,objects
test,0000006_00159_d_0000001.jpg,57
test,0000006_00611_d_0000002.jpg,53
test,0000006_01111_d_0000003.jpg,14
test,0000006_01275_d_0000004.jpg,13
test,0000006_01659_d_0000004.jpg,9
test,0000006_02138_d_0000006.jpg,3
test,0000006_03636_d_0000009.jpg,1
test,0000006_04309_d_0000011.jpg,15
test,0000006_05168_d_0000013.jpg,14
test,0000006_05999_d_0000017.jpg,18
test,0000006_06773_d_0000018.jpg,13
test,0000006_07596_d_0000020.jpg,9
test,0000011_00234_d_0000001.jpg,70
test,0000011_01350_d_0000003.jpg,27
test,0000011_01955_d_0000004.jpg,38
test,0000011_02800_d_0000005.jpg,34
test,0000011_04202_d_0000007.jpg,38
test,0000011_05068_d_0000008.jpg,28
test,0000011_06000_d_0000009.jpg,58
test,0000011_06595_d_0000010.jpg,15
test,0000011_07307_d_0000011.jpg,46
test,0000011_08299_d_0000012.jpg,10
test,0000054_00786_d_0000001.jpg,67
test,0000063_00500_d_0000001.jpg,266
test,0000063_02235_d_0000003.jpg,93
test,0000063_03139_d_0000004.jpg,43
test,0000063_04000_d_0000005.jpg,50
test,0000063_05000_d_0000006.jpg,42
test,0000063_06000_d_0000007.jpg,28
test,0000063_07000_d_0000008.jpg,55
test,0000063_08000_d_0000009.jpg,119
test,0000063_08995_d_0000010.jpg,81
test,0000063_10000_d_0000011.jpg,99
test,0000063_11000_d_0000012.jpg,184
test,0000063_11817_d_0000013.jpg,121
test,0000063_12500_d_0000014.jpg,167
test,0000066_01097_d_0000002.jpg,262
test,0000073_00377_d_0000001.jpg,64
test,0000073_01275_d_0000002.jpg,115
test,0000073_03155_d_0000004.jpg,99
test,0000073_04009_d_0000005.jpg,115
test,0000073_05010_d_0000006.jpg,81
test,0000073_05999_d_0000007.jpg,92
test,0000074_01218_d_0000002.jpg,104
test,0000074_02723_d_0000005.jpg,66
test,0000074_03738_d_0000007.jpg,82
test,0000074_05715_d_0000011.jpg,81
test,0000074_06746_d_0000013.jpg,76
test,0000074_07297_d_0000014.jpg,113
test,0000074_07850_d_0000015.jpg,140
test,0000074_08202_d_0000016.jpg,78
test,0000074_08777_d_0000017.jpg,19
test,0000074_09738_d_0000019.jpg,89
test,0000074_10218_d_0000020.jpg,79
test,0000074_10730_d_0000021.jpg,94
test,0000074_11362_d_0000022.jpg,102
test,0000074_11827_d_0000023.jpg,112
test,0000074_12322_d_0000024.jpg,74
test,0000074_13313_d_0000026.jpg,126
test,0000074_13875_d_0000027.jpg,116
test,0000074_14850_d_0000029.jpg,96
test,0000074_15298_d_0000030.jpg,60
test,0000074_15793_d_0000031.jpg,65
test,0000074_16210_d_0000032.jpg,88
test,0000078_00490_d_0000002.jpg,15
test,0000078_01314_d_0000004.jpg,3
test,0000078_01938_d_0000006.jpg,4
test,0000078_02363_d_0000007.jpg,1
test,0000078_02778_d_0000008.jpg,21
test,0000078_03171_d_0000009.jpg,33
test,0000078_03315_d_0000010.jpg,7
test,0000078_03810_d_0000011.jpg,8
test,0000078_04210_d_0000012.jpg,1
test,0000078_04546_d_0000013.jpg,5
test,0000078_06363_d_0000017.jpg,6
test,0000078_06506_d_0000018.jpg,2
test,0000078_06586_d_0000019.jpg,5
test,0000078_07266_d_0000021.jpg,4
test,0000078_07819_d_0000023.jpg,3
test,0000083_00803_d_0000003.jpg,33
test,0000087_00009_d_0000001.jpg,77
test,0000087_00299_d_0000002.jpg,136
test,0000087_00700_d_0000003.jpg,142
test,0000087_01140_d_0000004.jpg,118
test,0000087_01580_d_0000005.jpg,74
test,0000105_01556_d_0000069.jpg,47
test,0000105_01748_d_0000070.jpg,41
test,0000105_02201_d_0000071.jpg,10
test,0000105_02539_d_0000072.jpg,51
test,0000105_02747_d_0000073.jpg,22
test,0000105_02931_d_0000074.jpg,26
test,0000118_02327_d_0000076.jpg,63
test,0000118_02632_d_0000077.jpg,60
test,0000120_00559_d_0000092.jpg,44
test,0000120_01392_d_0000094.jpg,41
test,0000120_01535_d_0000095.jpg,5
test,0000120_02001_d_0000096.jpg,86
test,0000120_02946_d_0000098.jpg,21
test,0000120_03922_d_0000100.jpg,30
test,0000120_04920_d_0000102.jpg,44
test,0000120_05373_d_0000103.jpg,38
test,0000120_06848_d_0000106.jpg,53
test,0000120_07578_d_0000108.jpg,41
test,0000127_00002_d_0000119.jpg,176
test,0000127_00265_d_0000120.jpg,152
test,0000127_01002_d_0000123.jpg,93
test,0000152_00100_d_0000145.jpg,29
test,0000152_00599_d_0000146.jpg,31
test,0000152_02214_d_0000150.jpg,37
test,0000152_03226_d_0000153.jpg,33
test,0000161_01584_d_0000158.jpg,137
test,0000164_00078_d_0000159.jpg,34
test,0000164_01068_d_0000162.jpg,18
test,0000164_01302_d_0000163.jpg,20
test,0000164_01840_d_0000165.jpg,32
test,0000183_00031_d_0000176.jpg,49
test,0000183_00216_d_0000177.jpg,33
test,0000184_00512_d_0000182.jpg,48
test,0000186_00901_d_0000187.jpg,41
test,0000186_01387_d_0000188.jpg,19
test,0000187_00024_d_0000189.jpg,33
test,0000187_00444_d_0000190.jpg,26
test,0000187_00666_d_0000191.jpg,19
test,0000189_00297_d_0000198.jpg,45
test,0000190_00023_d_0000201.jpg,30
test,0000190_00172_d_0000202.jpg,35
test,0000192_00522_d_0000213.jpg,23
test,0000207_00000_d_0000001.jpg,32
test,0000207_00100_d_0000002.jpg,27
test,0000207_00300_d_0000004.jpg,29
test,0000207_00500_d_0000006.jpg,48
test,0000207_00600_d_0000007.jpg,39
