epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.382,1.56688,1.2038,0.99519,0.65771,0.51316,0.54764,0.30221,1.41236,0.87224,0.93521,0.0033251,0.0033251,0.0700741
2,488.22,1.51506,0.96059,0.94781,0.64503,0.53188,0.5643,0.31384,1.3874,0.87568,0.93164,0.00664828,0.00664828,0.0400639
3,719.686,1.56412,0.97708,0.95108,0.65231,0.54168,0.56677,0.31046,1.41023,0.92749,0.93541,0.00993088,0.00993088,0.0100132
4,951.627,1.54589,0.96451,0.9491,0.69618,0.54061,0.58087,0.32455,1.39641,0.85184,0.93285,0.00986323,0.00986323,0.00986323
5,1183.8,1.51315,0.92733,0.94171,0.71244,0.54757,0.59136,0.3272,1.40445,0.8339,0.93498,0.00975773,0.00975773,0.00975773
6,1415.38,1.50435,0.90909,0.93605,0.72829,0.56305,0.60952,0.34023,1.37854,0.81768,0.92204,0.0096232,0.0096232,0.0096232
7,1645.97,1.4743,0.88961,0.93036,0.70702,0.56253,0.60326,0.34192,1.35554,0.81863,0.92195,0.00946048,0.00946048,0.00946048
8,1876.97,1.46197,0.86778,0.92414,0.7321,0.58391,0.63365,0.35997,1.32972,0.79228,0.91204,0.00927057,0.00927057,0.00927057
9,2106.02,1.43544,0.85071,0.92056,0.7251,0.57908,0.6281,0.35559,1.33008,0.7961,0.91275,0.00905463,0.00905463,0.00905463
10,2337.65,1.43819,0.85065,0.92081,0.73141,0.58031,0.63273,0.35978,1.32776,0.77929,0.90973,0.00881401,0.00881401,0.00881401
11,2568.36,1.41582,0.8312,0.91398,0.73012,0.59423,0.63651,0.36264,1.31818,0.77581,0.90834,0.00855018,0.00855018,0.00855018
12,2798.67,1.41212,0.82419,0.91041,0.73925,0.59671,0.64824,0.3696,1.29841,0.76302,0.90289,0.00826477,0.00826477,0.00826477
13,3030.32,1.40025,0.81705,0.91053,0.7374,0.59553,0.6469,0.36726,1.31742,0.76318,0.90589,0.00795954,0.00795954,0.00795954
14,3264.04,1.38249,0.80372,0.90722,0.74034,0.6012,0.65578,0.37329,1.30906,0.75058,0.90678,0.00763637,0.00763637,0.00763637
15,3496.99,1.37976,0.79434,0.90365,0.75367,0.61173,0.66129,0.37973,1.28802,0.73768,0.90061,0.00729725,0.00729725,0.00729725
16,3729.88,1.36762,0.78492,0.90014,0.75545,0.60417,0.66074,0.37895,1.28622,0.74129,0.89934,0.00694428,0.00694428,0.00694428
17,3964.29,1.36699,0.78255,0.89895,0.74302,0.6025,0.65766,0.37921,1.28429,0.73668,0.89927,0.00657963,0.00657963,0.00657963
18,4194.13,1.35704,0.7748,0.90074,0.7496,0.61761,0.67037,0.38612,1.27222,0.73356,0.8959,0.00620555,0.00620555,0.00620555
19,4424.81,1.34233,0.76334,0.89369,0.7581,0.61195,0.66777,0.38592,1.27394,0.72788,0.8961,0.00582435,0.00582435,0.00582435
