frame,visible_persons,visible_cars,unique_persons_so_far,unique_cars_so_far,inference_time_ms
0,0,3,0,3,871.14
1,0,3,0,3,19.75
2,0,2,0,3,21.05
3,0,2,0,3,23.95
4,0,2,0,3,21.0
5,0,2,0,3,22.45
6,0,1,0,3,21.07
7,0,4,0,5,21.59
8,0,4,0,6,23.49
9,0,4,0,6,21.88
10,0,2,0,6,22.25
11,0,3,0,7,25.55
12,0,3,0,7,20.99
13,0,5,0,8,21.47
14,0,5,0,8,21.1
15,0,3,0,8,23.2
16,0,3,0,8,22.04
17,0,3,0,8,21.32
18,0,2,0,8,21.57
19,0,4,0,8,21.08
20,0,2,0,8,22.26
21,0,3,0,9,21.87
22,0,3,0,9,21.56
23,0,4,0,9,22.51
24,0,3,0,9,22.6
25,0,3,0,9,20.61
26,0,4,0,9,22.65
27,0,3,0,9,20.89
28,0,3,0,9,21.61
29,0,3,0,9,23.42
30,0,3,0,9,22.37
31,0,3,0,9,22.24
32,0,4,0,9,22.06
33,0,6,0,11,22.31
34,0,4,0,11,23.25
35,0,5,0,11,22.53
36,0,3,0,11,23.11
37,0,5,0,11,23.37
38,0,3,0,11,22.11
39,0,4,0,11,22.28
40,0,4,0,11,22.65
41,0,4,0,11,21.75
42,0,3,0,11,24.85
43,0,3,0,11,21.37
44,0,4,0,11,21.55
45,0,4,0,11,21.96
46,0,4,0,11,21.54
47,0,4,0,12,22.04
48,0,3,0,12,70.04
49,0,3,0,12,106.69
50,0,5,0,13,66.76
51,0,4,0,13,66.5
52,0,4,0,13,65.29
53,0,4,0,13,57.44
54,0,4,0,13,70.22
55,0,4,0,13,67.66
56,1,4,1,13,77.45
57,1,4,1,13,69.25
58,1,4,1,13,69.36
59,0,5,1,14,73.25
60,0,5,1,14,72.2
61,0,5,1,14,82.29
62,0,5,1,14,69.34
63,0,3,1,14,72.44
64,0,4,1,14,66.53
65,0,3,1,14,62.18
66,0,4,1,14,74.41
67,0,4,1,14,68.74
68,1,5,1,14,68.67
69,1,4,1,14,66.05
70,0,5,1,14,62.67
71,0,6,1,15,63.07
72,0,3,1,15,47.84
73,0,3,1,15,19.83
74,0,5,1,15,19.93
75,0,4,1,15,21.36
76,0,5,1,16,20.88
77,0,5,1,16,21.7
78,0,3,1,16,21.0
79,0,4,1,16,20.77
80,0,3,1,16,22.52
81,0,3,1,16,19.44
82,0,4,1,16,20.35
83,0,4,1,16,22.54
84,0,3,1,16,22.04
85,0,4,1,16,21.89
86,0,4,1,16,20.7
87,0,4,1,16,20.48
88,0,4,1,16,22.98
89,0,3,1,16,22.14
90,0,5,1,17,21.55
91,0,3,1,17,22.25
92,0,3,1,17,21.22
93,0,3,1,17,22.09
94,0,4,1,17,21.8
95,0,4,1,17,20.87
96,0,2,1,17,20.01
97,0,2,1,17,21.91
98,0,4,1,18,34.16
99,0,2,1,18,36.69
100,0,4,1,19,38.36
101,0,4,1,19,36.75
102,0,4,1,19,35.18
103,0,3,1,20,100.07
104,0,5,1,20,90.76
105,0,5,1,20,41.47
106,0,6,1,21,28.58
107,0,4,1,21,28.91
108,0,5,1,21,29.1
109,0,5,1,21,28.95
110,0,4,1,21,28.38
111,0,8,1,23,29.34
112,0,5,1,23,28.98
113,0,3,1,23,26.86
114,0,3,1,23,26.99
115,0,5,1,23,28.36
116,0,5,1,24,28.76
117,0,5,1,24,28.94
118,0,5,1,24,28.79
119,0,6,1,24,73.05
120,0,5,1,24,71.75
121,0,4,1,24,73.2
122,0,3,1,24,71.01
123,0,5,1,25,72.25
124,0,5,1,25,72.61
125,0,4,1,25,66.05
126,0,6,1,26,67.95
127,0,3,1,26,66.8
128,0,5,1,26,65.81
129,0,6,1,26,65.84
130,0,5,1,26,67.21
131,0,5,1,26,21.77
132,0,4,1,26,20.26
133,0,4,1,26,21.97
134,0,4,1,26,20.23
135,0,3,1,26,21.39
136,0,3,1,26,20.6
137,0,5,1,26,20.55
138,0,5,1,26,21.42
139,0,5,1,26,20.96
140,0,7,1,26,20.53
141,0,7,1,26,21.75
142,0,5,1,26,20.55
143,0,5,1,26,21.52
144,0,2,1,26,19.94
145,0,3,1,26,19.8
146,0,4,1,27,20.03
147,0,5,1,27,20.36
148,0,4,1,27,19.99
149,0,5,1,27,21.12
150,0,5,1,27,24.12
151,0,5,1,27,19.96
152,0,3,1,27,23.67
153,0,4,1,27,20.69
154,0,4,1,27,22.79
155,0,1,1,27,21.17
156,0,3,1,27,21.22
157,0,5,1,27,21.23
158,0,3,1,27,23.54
159,0,3,1,27,20.57
160,0,4,1,27,21.56
161,0,6,1,28,24.17
162,0,2,1,28,88.6
163,0,2,1,28,29.44
164,0,4,1,28,27.36
165,0,3,1,28,27.96
166,0,2,1,28,29.66
167,0,2,1,28,34.49
168,0,1,1,28,31.6
169,0,2,1,28,32.74
170,0,1,1,28,29.41
171,0,1,1,28,30.88
172,0,1,1,28,29.62
173,0,3,1,28,33.0
174,0,4,1,29,31.86
175,0,4,1,29,32.06
